,plantid,genotype_name,cluster
36386,1041,DH_PE0290,
36421,1042,DH_KE0043,
36457,1043,DH_KE0180,
36492,1044,DH_PE0316,
36527,1045,DH_PE0541,
36563,1046,DH_PE0320,
36597,1047,DH_PE0022,
36632,1048,DH_PE0260,
36668,1049,DH_PE0555,
36703,1050,DH_KE0140,
36736,1052,DH_KE0058,
36770,1053,DH_PE0247,
36804,1054,DH_KE0101,
36839,1055,DH_KE0133,
36874,1056,DH_PE0245,
36908,1057,DH_PE0417,
36944,1058,DH_KE0725,
36979,1059,DH_KE0262,
37012,1060,DH_PE0624,
37047,1061,DH_KE0037,
37082,1062,DH_PE0528,
37115,1063,DH_KE0349,
37151,1064,DH_PE0274,
37185,1065,DH_PE0246,
37219,1066,DH_KE0259,
37255,1068,DH_PE0475,
37289,1069,DH_KE0512,
37325,1070,DH_KE0062,
37360,1071,DH_PE0278,
37394,1072,DH_KE0286,
37430,1073,DH_KE0577,
37465,1074,DH_KE0461,
37497,1075,DH_KE0071,
37533,1076,DH_PE0553,
37568,1077,DH_KE0100,
37602,1078,DH_PE0005,
37638,1079,DH_KE0331,
37673,1080,DH_KE0212,
37707,1081,DH_KE0333,
37743,1083,DH_KE0574,
37777,1084,DH_PE0083,
37813,1085,DH_PE0532,
37849,1086,DH_KE0715,
37883,1087,DH_PE0370,
37919,1088,DH_PE0007,
37954,1089,DH_PE0342,
37989,1090,DH_KE0201,
38025,1091,DH_KE0217,
38060,1092,DH_PE0435,
38095,1093,DH_PE0265,
38131,1094,DH_PE0389,
38167,1095,DH_KE0094,
38201,1096,DH_KE0272,
38237,1097,DH_PE0275,
38273,1098,DH_KE0310,
38306,1099,DH_PE0123,
38341,1100,DH_PE0659,
38377,1101,DH_PE0088,
38412,1102,DH_PE0496,
38448,1103,DH_KE0103,
38484,1104,DH_KE0318,
38519,1105,DH_KE0203,
38555,1106,DH_PE0383,
38590,1107,DH_KE0104,
38623,1108,DH_KE0078,
38659,1109,F2,
38695,1110,DH_PE0072,
38730,1111,DH_PE0446,
38766,1112,DH_KE0218,
38801,1113,DH_PE0418,
38836,1114,DH_KE0130,
38872,1115,DH_PE0059,
38907,1116,DH_KE0168,
38942,1117,DH_PE0115,
38978,1118,DH_PE0410,
39014,1119,DH_PE0301,
39049,1120,DH_PE0283,
39084,1121,DH_PE0155,
39119,1122,DH_KE0719,
39153,1123,DH_PE0127,
39189,1124,DH_KE0560,
39225,1125,DH_PE0240,
39260,1126,DH_PE0411,
39295,1127,DH_PE0026,
39330,1128,DH_KE0633,
39364,1129,DH_KE0428,
39399,1130,DH_PE0488,
39434,1131,DH_PE0305,
39470,1132,DH_KE0250,
39506,1133,DH_KE0080,
39543,1134,DH_KE0038,
39579,1135,DH_KE0075,
39616,1136,DH_KE0112,
39652,1137,DH_KE0497,
39688,1138,DH_PE0104,
39725,1139,DH_PE0122,
39762,1140,DH_PE0002,
39797,1141,DH_KE0090,
39833,1143,DH_PE0444,
39868,1144,DH_PE0073,
39904,1145,DH_PE0509,
39939,1146,DH_PE0330,
39974,1147,DH_PE0384,
40010,1148,DH_PE0074,
40046,1149,DH_KE0558,
40080,1150,DH_PE0323,
40116,1151,DH_KE0254,
40152,1152,DH_KE0163,
40187,1153,DH_PE0090,
40223,1154,DH_KE0144,
40259,1155,DH_KE0095,
40294,1156,DH_KE0466,
40330,1157,DH_PE0433,
40366,1158,DH_PE0723,
40401,1159,DH_PE0003,
40437,1160,DH_PE0157,
40473,1161,DH_KE0610,
40507,1162,DH_KE0479,
40542,1163,DH_KE0354,
40576,1164,DH_KE0194,
40609,1167,DH_PE0486,
40643,1168,DH_PE0015,
40678,1169,DH_PE0033,
40713,1170,DH_KE0418,
40747,1171,DH_KE0282,
40782,1172,DH_KE0098,
40817,1173,DH_KE0478,
40850,1174,DH_PE0324,
40885,1175,DH_KE0243,
40920,1176,DH_PE0580,
40954,1177,DH_PE0048,
40989,1178,DH_KE0656,
41024,1179,DH_PE0041,
41058,1180,DH_PE0125,
41093,1181,DH_PE0076,
41127,1182,DH_KE0353,
41160,1183,DH_PE0472,
41195,1184,DH_KE0468,
41230,1185,DH_KE0460,
41264,1186,DH_KE0028,
41299,1188,DH_KE0403,
41333,1189,DH_PE0588,
41368,1190,DH_PE0311,
41402,1191,DH_KE0604,
41436,1192,DH_KE0485,
41471,1193,DH_KE0406,
41506,1194,DH_PE0405,
41540,1195,DH_PE0353,
41575,1196,DH_KE0439,
41609,1197,DH_KE0048,
41642,1198,DH_PE0078,
41676,1199,DH_KE0454,
41711,1200,DH_PE0359,
41745,1202,DH_PE0082,
41780,1203,DH_KE0621,
41813,1204,DH_PE0150,
41848,1205,DH_PE0470,
41883,1206,DH_PE0216,
41917,1207,DH_PE0519,
41952,1208,DH_KE0627,
41986,1209,EP1,
42020,1210,DH_KE0434,
42055,1211,DH_KE0429,
42090,1212,DH_PE0270,
42124,1213,DH_KE0402,
42159,1214,DH_PE0291,
42194,1215,DH_KE0235,
42228,1216,DH_PE0546,
42263,1217,DH_PE0263,
42298,1218,DH_KE0157,
42332,1219,DH_PE0101,
42367,1220,DH_KE0476,
42402,1221,DH_PE0345,
42436,1223,DH_KE0561,
42471,1224,DH_PE0177,
42505,1225,DH_KE0234,
42540,1226,DH_KE0314,
42575,1227,DH_KE0214,
42609,1228,DH_KE0492,
42644,1229,DH_KE0734,
42679,1230,DH_PE0106,
42713,1231,DH_KE0530,
42748,1232,DH_KE0039,
42782,1233,DH_PE0237,
42816,1234,DH_PE0028,
42851,1235,DH_PE0097,
42885,1236,DH_PE0336,
42919,1237,DH_KE0107,
42954,1238,DH_PE0505,
42989,1239,DH_KE0469,
43023,1240,DH_KE0337,
43058,1241,DH_KE0385,
43092,1242,DH_KE0042,
43126,1243,DH_PE0001,
43161,1244,DH_KE0109,
43196,1245,DH_PE0126,
43230,1246,DH_PE0239,
43265,1247,DH_KE0642,
43300,1248,DH_KE0481,
43333,1249,DH_KE0304,
43368,1250,DH_PE0598,
43402,1251,DH_KE0059,
43435,1252,DH_KE0501,
43470,1253,DH_KE0120,
43505,1254,DH_KE0578,
43539,1255,DH_PE0276,
43574,1256,DH_PE0507,
43609,1257,DH_KE0231,
43643,1258,DH_KE0065,
43678,1260,DH_KE0422,
