,plantid,genotype_name,cluster
8697,237,DH_PE0290,
8733,238,DH_KE0552,
8770,239,DH_KE0407,
8806,240,DH_KE0193,
8842,242,DH_KE0024,
8879,243,DH_PE0174,
8916,244,DH_PE0048,
8954,245,DH_PE0026,
8991,246,DH_PE0446,
9028,247,DH_PE0136,
9066,248,DH_KE0385,
9103,249,DH_PE0538,
9139,250,DH_KE0028,
9177,252,DH_PE0353,
9214,253,DH_KE0430,
9252,254,DH_KE0101,
9289,255,DH_KE0203,
9325,256,DH_PE0075,
9363,257,DH_PE0247,
9400,258,DH_KE0214,
9437,259,DH_KE0642,
9475,260,DH_PE0513,
9512,262,DH_KE0247,
9550,263,DH_PE0063,
9587,264,DH_KE0235,
9624,265,DH_KE0633,
9662,266,DH_PE0497,
9699,267,DH_PE0007,
9734,268,DH_PE0507,
9771,269,DH_KE0084,
9807,270,DH_PE0402,
9842,271,DH_KE0100,
9879,272,DH_PE0370,
9914,273,DH_PE0504,
9949,274,DH_PE0479,
9986,276,DH_PE0042,
10021,277,DH_KE0113,
10057,278,DH_PE0472,
10093,279,DH_KE0304,
10128,280,DH_KE0353,
10163,281,DH_PE0008,
10198,282,DH_KE0489,
10233,283,DH_PE0018,
10269,284,DH_PE0130,
10305,285,DH_KE0476,
10340,286,DH_PE0392,
10375,287,DH_PE0022,
10411,288,DH_PE0323,
10446,289,DH_KE0190,
10482,290,DH_PE0426,
10518,291,DH_KE0272,
10552,292,DH_KE0480,
10588,293,DH_KE0090,
10624,294,DH_PE0444,
10658,295,DH_PE0082,
10694,296,DH_PE0156,
10730,298,DH_PE0134,
10766,299,DH_KE0126,
10802,300,DH_PE0532,
10836,301,DH_PE0528,
10872,302,DH_KE0199,
10906,303,DH_KE0037,
10940,304,DH_KE0250,
10975,306,DH_KE0569,
11009,307,DH_KE0349,
11044,308,DH_KE0168,
11079,309,DH_PE0316,
11113,310,DH_KE0061,
11148,311,DH_PE0520,
11182,312,DH_PE0005,
11216,313,DH_KE0403,
11251,314,DH_KE0161,
11286,315,DH_KE0492,
11320,316,DH_KE0073,
11355,317,DH_PE0106,
11389,318,DH_PE0421,
11423,319,DH_KE0530,
11458,320,DH_PE0486,
11493,321,DH_KE0114,
11527,322,DH_PE0448,
11562,323,DH_PE0085,
11597,324,DH_KE0294,
11631,325,DH_PE0223,
11666,326,DH_PE0251,
11701,327,DH_PE0011,
11735,328,DH_KE0346,
11769,329,DH_PE0488,
11804,330,DH_PE0073,
11838,331,DH_KE0074,
11873,332,DH_PE0411,
11908,333,DH_PE0269,
11942,334,DH_KE0163,
11977,335,DH_KE0443,
12012,336,DH_KE0231,
12046,337,DH_KE0414,
12081,338,DH_KE0560,
12115,339,DH_KE0621,
12149,340,DH_PE0127,
12184,341,DH_KE0371,
12219,342,DH_PE0418,
12253,343,DH_PE0083,
12288,344,DH_PE0470,
12323,345,DH_KE0144,
12357,346,DH_PE0266,
12392,348,DH_PE0165,
12426,349,DH_KE0424,
12461,350,DH_PE0554,
12496,351,DH_KE0244,
12530,352,DH_KE0425,
12565,354,DH_KE0215,
12598,355,DH_PE0121,
12633,356,DH_PE0330,
12668,357,DH_KE0171,
12702,358,DH_PE0519,
12737,359,DH_PE0131,
12772,360,DK105,
12806,361,DH_KE0439,
12841,362,DH_PE0230,
12876,363,DH_KE0067,
12910,364,DH_PE0023,
12945,365,DH_PE0100,
12980,366,DH_PE0053,
13014,367,DH_KE0243,
13049,368,DH_KE0006,
13084,369,DH_KE0448,
13118,370,DH_KE0191,
13153,371,DH_KE0043,
13188,372,DH_PE0177,
13222,373,DH_PE0283,
13257,374,DH_KE0719,
13292,375,DH_PE0482,
13326,376,DH_KE0104,
13361,377,DH_PE0324,
13396,378,DH_PE0580,
13430,379,DH_KE0485,
13465,380,DH_PE0078,
13500,381,DH_KE0048,
13534,382,DH_KE0715,
13569,385,DH_KE0277,
13604,386,DH_KE0269,
13638,387,DH_KE0059,
13672,389,DH_KE0669,
13707,390,DH_KE0070,
13741,391,DH_PE0001,
13776,392,DH_KE0136,
13811,393,DH_PE0420,
13845,394,DH_KE0587,
13880,396,DH_KE0654,
13913,397,DH_PE0122,
13948,398,DH_KE0042,
13982,399,DH_PE0155,
14016,400,DH_KE0512,
14050,401,DH_PE0416,
14084,402,DH_KE0469,
14119,403,DH_PE0277,
14153,404,DH_PE0059,
14188,405,DH_KE0656,
14222,406,DH_PE0216,
14257,407,DH_PE0028,
14292,408,DH_PE0260,
14327,409,DH_PE0386,
14362,410,DH_KE0678,
14397,411,DH_PE0494,
14432,412,DH_PE0384,
14467,413,DH_PE0509,
14502,414,F2,
14537,415,DH_PE0593,
14572,416,DH_KE0464,
14607,417,DH_PE0524,
14642,418,DH_KE0153,
14677,420,DH_PE0634,
14714,421,DH_PE0008,
14749,422,DH_PE0418,
14786,423,DH_PE0219,
14824,425,DH_KE0367,
14863,426,DH_KE0065,
14902,427,F353,
14941,428,DH_KE0337,
14981,429,DH_KE0578,
15019,431,DH_PE0488,
15059,432,DH_PE0472,
15097,433,DH_KE0059,
15137,434,DH_KE0304,
15177,435,DH_PE0286,
15216,437,DH_KE0126,
15255,438,DH_PE0416,
15294,439,DH_PE0245,
15334,440,DH_PE0122,
15374,441,DH_PE0444,
15413,442,DH_PE0092,
15452,443,DH_KE0193,
15492,444,DH_KE0112,
15530,445,DH_PE0295,
15570,446,DH_PE0532,
15610,447,DH_PE0378,
15649,448,DH_PE0121,
15689,449,DH_KE0424,
15729,450,DH_PE0228,
15768,451,DH_PE0170,
15808,452,DH_PE0078,
15848,453,DH_PE0239,
15887,455,DH_PE0351,
15927,456,DH_PE0024,
15966,457,DH_PE0265,
16006,458,DH_KE0569,
16045,459,DH_PE0346,
16084,460,DH_KE0032,
16124,461,DH_KE0136,
16163,462,DH_PE0485,
16202,464,DH_PE0003,
16242,465,DH_PE0149,
16281,466,DH_KE0243,
16321,467,DH_PE0023,
16361,468,DH_PE0085,
16400,469,DH_KE0201,
16439,470,DH_KE0235,
16479,471,DH_PE0073,
16518,472,DH_PE0195,
16558,473,DH_KE0715,
16598,474,DH_PE0177,
16636,475,DH_KE0434,
16676,476,DH_KE0265,
16716,477,DH_KE0491,
16755,479,DH_KE0203,
16794,480,DH_PE0316,
16833,481,DH_PE0290,
16873,482,DH_KE0512,
16912,483,DH_KE0039,
16951,485,DH_PE0328,
16991,486,DH_KE0084,
17030,487,DH_PE0386,
17070,488,DH_KE0656,
17110,489,DH_KE0231,
17149,490,DH_KE0189,
17189,491,DH_PE0036,
17229,492,DH_PE0305,
17267,493,DH_KE0291,
17307,494,DH_KE0071,
17347,495,DH_KE0552,
17386,496,DH_PE0015,
17426,498,DH_PE0028,
17465,499,DH_PE0063,
17505,501,DH_PE0002,
17544,502,DH_PE0074,
17584,503,DH_PE0554,
17621,504,DH_KE0041,
17659,506,DH_KE0033,
17696,507,DH_KE0713,
17735,508,DH_PE0311,
17775,509,DH_PE0553,
17814,510,DH_KE0141,
17852,511,DH_KE0448,
17892,512,DH_PE0560,
17932,513,DH_KE0719,
17971,514,DH_KE0250,
18011,515,DH_PE0473,
18051,516,DH_KE0037,
18090,517,DH_PE0087,
18130,518,DH_PE0026,
18170,519,DH_PE0323,
18207,520,DH_KE0286,
18247,521,DH_PE0263,
18286,522,DH_PE0356,
18325,523,DH_PE0336,
18365,524,DH_PE0482,
18404,525,DH_KE0314,
18443,526,DH_KE0107,
18483,527,DH_KE0318,
18522,528,DH_PE0446,
18560,529,DH_PE0100,
18598,530,DH_KE0479,
18637,531,EP1,
18675,532,DH_KE0605,
18714,533,DH_PE0624,
18753,534,DH_PE0486,
18790,535,DH_KE0277,
18829,536,DH_KE0217,
18868,537,DH_KE0724,
18906,538,DH_PE0075,
18944,539,DH_PE0421,
18983,540,DH_PE0016,
19021,541,DH_KE0589,
19059,542,DH_KE0414,
19098,544,DH_PE0256,
19136,545,DH_PE0278,
19174,546,DH_PE0320,
19212,547,DH_PE0156,
19250,548,DH_KE0171,
19289,549,DH_PE0027,
19327,550,DH_PE0223,
19365,551,DH_PE0127,
19404,552,DH_PE0246,
19442,553,DH_PE0426,
19480,554,DH_KE0078,
19518,555,DH_KE0042,
19556,556,DH_KE0538,
19593,557,DH_PE0260,
19632,559,DH_PE0447,
19670,560,DH_KE0200,
19709,561,DH_PE0334,
19747,562,DH_KE0464,
19785,563,DH_PE0384,
19823,564,DH_PE0509,
19861,565,DH_PE0216,
