name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
netherland,2022-03-15,17.7,7.1,12.9,17.7,7.1,12.9,3.3,53,0,0,0,,0,0,25.6,13.8,171.9,1023.2,52.6,16,143.8,12.4,6,10,2022-03-15T06:52:16,2022-03-15T18:49:10,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3,TR889"
netherland,2022-03-16,19.2,9.1,13.5,19.2,9.1,13.5,9.4,77.7,5.186,100,29.17,rain,0,0,33.8,12.8,57.6,1016,68.4,14.6,91.6,7.7,4,10,2022-03-16T06:50:50,2022-03-16T18:50:03,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72327400372,99999963855,TT542,KSRB,D3823,K8A3"
netherland,2022-03-17,20.8,6.9,13.5,20.8,6.9,13.5,8.9,76.4,0,0,0,rain,0,0,25.9,12.8,249.1,1014.6,28.6,14.3,183.6,15.9,8,10,2022-03-17T06:49:23,2022-03-17T18:50:55,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-03-18,17.6,9,13.4,17.6,8.9,13.4,10.1,80.8,3.248,100,12.5,rain,0,0,64.8,24.8,182.8,1010.7,50.7,15.5,132.3,11.3,7,10,2022-03-18T06:47:56,2022-03-18T18:51:47,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72327400372,99999963855,KSRB,D3823,K8A3"
netherland,2022-03-19,15.3,3.1,9.3,15.3,3.1,7.7,4.9,74.1,0.251,100,8.33,rain,0,0,41.7,23.2,241.8,1014.7,95.6,16,47.4,4.1,2,10,2022-03-19T06:46:29,2022-03-19T18:52:39,0.55,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-03-20,16.3,0.5,7.9,16.3,-0.7,7.8,-0.2,63.8,0,0,0,,0,0,25.9,10.9,296.6,1023.3,0.5,15.6,242.6,20.8,9,10,2022-03-20T06:45:01,2022-03-20T18:53:31,0.59,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-03-21,21.1,3.3,12.7,21.1,3.3,12.7,-2,41.7,0,0,0,,0,0,29.5,14.5,152.5,1022.7,2.9,16,237.7,20.5,9,10,2022-03-21T06:43:34,2022-03-21T18:54:23,0.62,Clear,Clear conditions throughout the day.,clear-day,"72327400372,99999963855,TT542,KSRB,D3823,K8A3"
netherland,2022-03-22,22.2,14.7,18.4,22.2,14.7,18.4,5.6,44.7,0.982,100,8.33,rain,0,0,67,27.8,175.3,1013.6,35,15.8,191,16.4,9,10,2022-03-22T06:42:07,2022-03-22T18:55:14,0.66,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"72327400372,99999963855,TT542,KSRB,D3823,K8A3"
netherland,2022-03-23,19.3,8.3,15.4,19.3,6,15.1,10.7,75.1,9.75,100,37.5,rain,0,0,58,34.3,211.7,1006,77.5,14.9,174,15,8,10,2022-03-23T06:40:39,2022-03-23T18:56:06,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72327400372,99999963855,KSRB,D3823,K8A3,TR889"
netherland,2022-03-24,14.4,3.9,9.5,14.4,2.7,8.6,1,59.2,0,0,0,rain,0,0,55.4,21.1,233.9,1012.1,46.8,16,185.3,16.1,9,10,2022-03-24T06:39:12,2022-03-24T18:56:57,0.73,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72327400372,99999963855,72325003847,KSRB,D3823,K8A3,TR889"
